feature,rf_importance,extra_importance,gb_importance,mlp_importance,enriched_importance,regime_importance,ann_branch_importance
beta_vol_interaction,0.021442635908612177,0.011335508816883406,0.008368585612752033,0.013907634220649757,0.012860646606809554,0.0,0.012319071782534847
spread_proxy_sector_z,0.015049756686633897,0.010946941110006917,0.017017932617179054,0.016674734942015972,0.012502781434071426,0.0,0.01160671308735651
spread_proxy_cs_rank,0.013496624841203415,0.011049077653727373,0.0064079239168433645,0.01613642251991624,0.012311301345712752,0.0,0.009649088947702483
beta_60d_sector_z,0.015501634812355497,0.010820689453904882,0.02941920541302967,0.014788918423621112,0.01208242978369319,0.0,0.014056759495595431
sector=oil_gas,0.0015706649929303515,0.012364028655087669,0.00046698983908273354,0.014839850411240018,0.011779856640102409,0.014717460468687401,0.009241129945066068
beta_60d,0.013873082826926219,0.010138516696051285,0.01661956936135702,0.01628264082732969,0.01174079813539446,0.027994641209449472,0.009320683979056308
beta_60d_cs_rank,0.013030204500745914,0.010701488945493987,0.005188390233123381,0.014529695651698357,0.011700001842260053,0.0,0.008899777872913314
spread_proxy,0.016950220250195155,0.009607784347376164,0.01010507719298879,0.013518308028584633,0.011124132673899757,0.029133146848135977,0.008389143543919486
liquidity_vol_interaction,0.01583246249499143,0.009552428104973355,0.006355811177147964,0.013372246975541138,0.01094439531808872,0.0,0.007880685140095786
sector=chemicals,0.0047353942546325325,0.009828195964939994,0.006196915739299161,0.015259537753654325,0.010405184151652116,0.011986055807193278,0.007187399505419557
rolling_vol_20d_sector_z,0.011736254445763967,0.00819619232285575,0.01307570502810657,0.015323589424216577,0.00997567795541874,0.0,0.009453388800355345
sector=retail,0.0006277772731799367,0.0073711522221634835,0.0027471153066546384,0.013846977033088952,0.007991979689450222,0.009648418328431812,0.006006702814115805
sector=transport,0.00035504453589312767,0.0031181130714430546,0.0,0.015385545188879274,0.005295292641375306,0.004497323986987352,0.002348855489587025
net_debt_to_ebitda_missing,0.0,0.0,0.0,0.016446496195173393,0.0032892992390346786,0.0,0.0
fundamental_fragility,0.0,0.0,0.0,0.016161753987526395,0.003232350797505279,0.0,0.0
net_debt_to_ebitda_sector_z,0.0,0.0,0.0,0.016062597735971244,0.0032125195471942487,0.0,0.0
free_cash_flow_sector_z,0.0,0.0,0.0,0.015782057168521477,0.0031564114337042956,0.0,0.0
interest_coverage_sector_z,0.0,0.0,0.0,0.015638200133756882,0.0031276400267513764,0.0,0.0
interest_coverage,0.0,0.0,0.0,0.015634885506490177,0.0031269771012980355,0.0,0.0
interest_coverage_missing,0.0,0.0,0.0,0.015515737064604743,0.003103147412920949,0.0,0.0
ebitda_margin,0.0,0.0,0.0,0.015485555282521291,0.0030971110565042584,0.0,0.0
net_debt_to_ebitda_cs_rank,0.0,0.0,0.0,0.015411971294330288,0.0030823942588660575,0.0,0.0
net_debt_to_ebitda,0.0,0.0,0.0,0.0153992103479184,0.00307984206958368,0.0,0.0
book_to_market,0.0,0.0,0.0,0.015306625609057692,0.0030613251218115384,0.0,0.0
free_cash_flow_cs_rank,0.0,0.0,0.0,0.01524164638342266,0.003048329276684532,0.0,0.0
debt_service_stress,0.0,0.0,0.0,0.01521359490663219,0.0030427189813264383,0.0,0.0
interest_coverage_cs_rank,0.0,0.0,0.0,0.015017701418009708,0.0030035402836019417,0.0,0.0
cash_flow_missing,0.0,0.0,0.0,0.014570414705118552,0.0029140829410237105,0.0,0.0
free_cash_flow,0.0,0.0,0.0,0.014295948087708295,0.002859189617541659,0.0,0.0
operating_cash_flow,0.0,0.0,0.0,0.01413127204862139,0.002826254409724278,0.0,0.0
cashflow_buffer,0.0,0.0,0.0,0.013494979097091872,0.0026989958194183743,0.0,0.0
latent_factor_3,0.0,0.0,0.0,0.0,0.0,0.0,0.012124425942023998
latent_factor_2,0.0,0.0,0.0,0.0,0.0,0.0,0.017387625415444037
latent_factor_1,0.0,0.0,0.0,0.0,0.0,0.0,0.030564696667213852
