feature,rf_importance,extra_importance,enriched_importance,regime_importance,ann_branch_importance
report_financial_pressure_cs_rank,0.1384733275120253,0.12542290540508003,0.1384733275120253,0.0,0.1147170152416524
report_integrated_stress,0.06072321321963042,0.07951647498787699,0.06072321321963042,0.0,0.026585386874385213
report_net_debt_to_ebitda_cs_rank,0.03825155852204163,0.010148775163097931,0.03825155852204163,0.0,0.06954144342874095
usd_rub,0.0378536943364482,0.009640847326844329,0.0378536943364482,0.07926696450546757,0.024500672463452965
report_net_debt_to_ebitda,0.03723883358511942,0.018386849361680987,0.03723883358511942,0.0,0.038702217031804806
report_cashflow_pressure,0.0346299377293531,0.02876968501845524,0.0346299377293531,0.0,0.023512804428434474
beta_vol_interaction,0.03288306104972468,0.003323806483073359,0.03288306104972468,0.0,0.01644065222876246
report_text_risk_density,0.031527130358627864,0.0024617459142055706,0.031527130358627864,0.0,0.020136998573802974
fundamental_fragility,0.031471152274116794,0.002165200735081033,0.031471152274116794,0.0,0.0032971811555697144
rate_fx_pressure,0.027094697304945306,0.004085211331576029,0.027094697304945306,0.0,0.004385951622218738
report_available,0.027012799871658822,0.03965354290843539,0.027012799871658822,0.0,0.0067138627309123846
report_free_cash_flow,0.025662156067607134,0.02245274956936097,0.025662156067607134,0.0,0.008867878538582244
report_equity_ratio,0.023853253180228743,0.033302923706032474,0.023853253180228743,0.0,0.023275531060201412
momentum_6m,0.022332908088688316,0.007859054140289541,0.022332908088688316,0.04636673738505319,0.0034912230992877997
liquidity_stress,0.021770050775700985,0.003867950200411257,0.021770050775700985,0.0,0.0071934619791097654
report_free_cf_margin,0.021683197800332482,0.013711393872806817,0.021683197800332482,0.0,0.001587809587842019
size_liquidity_interaction,0.02026041436470725,0.0011087567088782703,0.02026041436470725,0.0,0.009148144749506162
report_free_cf_margin_cs_rank,0.019699006398579456,0.030315291436823332,0.019699006398579456,0.0,0.01050883740218148
spread_proxy,0.018652608720220235,0.00027349089128705126,0.018652608720220235,0.03819679857195804,0.007512668531089556
avg_daily_traded_value_20d_cs_rank,0.01783169244024536,0.0,0.01783169244024536,0.0,0.004596323520215349
report_leverage_pressure,0.01776360972605649,0.038906387642874046,0.01776360972605649,0.0,0.019018002605815734
net_debt_to_ebitda_cs_rank,0.01769313443953689,0.020556304050445343,0.01769313443953689,0.0,0.0329071107323037
report_liquidity_refinancing_count,0.01469434664857433,0.0,0.01469434664857433,0.0,0.007948317289349369
amihud_20d_cs_rank,0.014277793981795782,0.0022657330237364297,0.014277793981795782,0.0,0.0021695948005220713
report_financial_pressure,0.013828601300925296,0.06020895346165286,0.013828601300925296,0.0,0.08924317958950506
free_cash_flow,0.013315302982039779,0.003949709948472745,0.013315302982039779,0.0,0.005365947887313742
debt_service_stress,0.012922596115030523,0.0018387648560790478,0.012922596115030523,0.0,0.01100246617996898
rolling_vol_20d,0.011464250909591453,0.006640976573081325,0.011464250909591453,0.03927766970614183,0.013708587831047154
report_net_profit,0.011231964068792295,0.005328334251419167,0.011231964068792295,0.0,0.0
operating_cash_flow,0.011028160896359033,0.005413549160767633,0.011028160896359033,0.0,0.00030194914834221105
ebitda_margin,0.010002976127464867,0.0,0.010002976127464867,0.0,0.0027995845834309484
report_ebitda,0.00954499196724752,0.007834607030995462,0.00954499196724752,0.0,0.006399141261526189
log_market_cap,0.009299265737331329,0.003735057537626188,0.009299265737331329,0.07700078350338607,0.007364011733286308
report_text_risk_density_cs_rank,0.00880782833033055,0.006698092604429035,0.00880782833033055,0.0,0.0008926262181673568
free_cash_flow_cs_rank,0.008800460534743261,0.006028514661909862,0.008800460534743261,0.0,0.005501411737172201
