ticker,company_name,report_period_end,publish_date,report_type,accounting_standard,language,source_name,source_page,source_url,local_path,download_status,content_type,detected_extension,file_sha256,bytes,link_text,score,error
ALRS,АК АЛРОСА (ПАО),2023-12-31,2025-04-08,annual_report,,,issuer_ir_auto,https://www.alrosa.ru/investors/results-reports/reports/2021/,https://www.alrosa.ru/upload/iblock/a09/ujqqoxz8fdmuv4hl1pt4nbug1imm5pgt/%D0%93%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%BE%D1%82%D1%87%D0%B5%D1%82%20%D0%B7%D0%B0%202023%20%D0%B3..pdf,ALRS\ALRS_20231231_2025-04-08_annual_report_801faa0a98.pdf,downloaded:200,application/pdf,.pdf,801faa0a988e34debfb2b4d340fc61877a35e5749ca35b62fea0e844a5a731d8,7552122,,13,
ALRS,АК АЛРОСА (ПАО),,2025-04-08,annual_report,,,issuer_ir_auto,https://www.alrosa.ru/investors/results-reports/reports/2021/,https://www.alrosa.ru/upload/iblock/bd1/%D0%90%D0%9B%D0%A0%D0%9E%D0%A1%D0%90-%D0%93%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B8%CC%86-%D0%BE%D1%82%D1%87%D0%B5%D1%82-2019.pdf,ALRS\ALRS_unknown_2025-04-08_annual_report_ff5f7356a9.pdf,downloaded:200,application/pdf,.pdf,ff5f7356a935d6ccfaf3b9d251d31ed3d3e147af0f2a7cf89a981225d07c4fd7,18522578,,9,
ALRS,АК АЛРОСА (ПАО),,2025-04-08,annual_report,,,issuer_ir_auto,https://www.alrosa.ru/investors/results-reports/reports/2021/,https://www.alrosa.ru/upload/iblock/a2a/%D0%93%D0%BE%D0%B4%D0%BE%D0%B2%D0%BE%D0%B8%CC%86-%D0%BE%D1%82%D1%87%D0%B5%D1%82-%D0%B7%D0%B0-2016-%D0%B3%D0%BE%D0%B4-1.pdf,ALRS\ALRS_unknown_2025-04-08_annual_report_cd386d2fb3.pdf,downloaded:200,application/pdf,.pdf,cd386d2fb397dd383cb1cefdd7d1ba84a2b8bca6cbc42cdbe5966c5f3b4d6c9a,9408670,,9,
ALRS,АК АЛРОСА (ПАО),2025-12-31,2025-04-08,report,,,issuer_ir_auto,https://www.alrosa.ru/investors/results-reports/reports/2021/,https://www.alrosa.ru/upload/2025/02.pdf,ALRS\ALRS_20251231_2025-04-08_report_100125a550.pdf,downloaded:200,application/pdf,.pdf,100125a5506930ceded749de5b382d1b5732b8799c77c08e4ae3a018d51fded9,245798,Политика конфиденциальности,9,
ALRS,АК АЛРОСА (ПАО),2024-12-31,2025-07-07,report,,,issuer_ir_auto,https://www.alrosa.ru/investors/results-reports/esg-reports/2024/,https://www.alrosa.ru/upload/iblock/8dd/igwntl0qwo9aenbkr33ai4ndf2325mjp/%D0%90%D0%9B%D0%A0%D0%9E%D0%A1%D0%90_%D0%9E%D0%A3%D0%A0%202024%20%D0%BD%D0%B0%20%D1%81%D0%B0%D0%B9%D1%82.pdf,ALRS\ALRS_20241231_2025-07-07_report_595844f02f.pdf,downloaded:200,application/pdf,.pdf,595844f02fbd2efd6094f2bfd1b3fb32b03310b94caf9bbe6b1a5de69fab338e,17352691,,9,
ALRS,АК АЛРОСА (ПАО),,2025-04-08,annual_report,,,issuer_ir_auto,https://www.alrosa.ru/investors/results-reports/reports/2021/,https://www.alrosa.ru/upload/iblock/02b/Annual-report-2010-rus.pdf.pdf,ALRS\ALRS_unknown_2025-04-08_annual_report_62787b021a.pdf,downloaded:200,application/pdf,.pdf,62787b021a7a15483657d6008b7241ff4bdf7fb5979530880936f82f12a3e53f,8578304,,7,
ALRS,АК АЛРОСА (ПАО),,2025-04-08,annual_report,,,issuer_ir_auto,https://www.alrosa.ru/investors/results-reports/reports/2021/,https://www.alrosa.ru/upload/iblock/a55/Annual-report-2009-rus.pdf,ALRS\ALRS_unknown_2025-04-08_annual_report_2c30552665.pdf,downloaded:200,application/pdf,.pdf,2c30552665e5f6e01f530ef4ad6c673f82612babf0696b44b4eadf0522531917,5234977,,7,
RUAL,МКПАО ОК РУСАЛ,2025-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/3fe/dvlxu02hyn1d1fyb22jpqikpo33o80ax/Consolidated-Interim-Condensed-Financial-Statements-for-the-six_month-period-ended-30-June-2025_ENG.pdf,RUAL\RUAL_20251231_unknown_ifrs_8c5a28d182.pdf,downloaded:200,application/pdf,.pdf,8c5a28d1828e45ffb149e974ecc47e063f210dfe97d87948b9dd0c31a21963b9,1388485,Consolidated Interim Condensed Financial Statements for the six-month period ended 30 June 2025,17,
RUAL,МКПАО ОК РУСАЛ,2024-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/eae/fh6o6tfng572z1oh5hgj10yest5lms08/Consolidated-Interim-Condensed-Financial-Statements-for-the-six_month-period-ended-30-June-2024.pdf,RUAL\RUAL_20241231_unknown_ifrs_784edb1062.pdf,downloaded:200,application/pdf,.pdf,784edb10622efe6b0d66653a781e39922ea2a27b6112a639ca483899ba522b6f,1899477,Consolidated Interim Condensed Financial Statements for the six-month period ended 30 June 2024,17,
RUAL,МКПАО ОК РУСАЛ,2023-12-31,,ifrs_9m,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/79f/16e2z9s4oh0qn6t2ck2muj9m4x9kgs87/UC_RUSAL_FS_30_June_2023_ENG.pdf,RUAL\RUAL_20231231_unknown_ifrs_9m_9ceab31c61.pdf,downloaded:200,application/pdf,.pdf,9ceab31c610498eb969a3486dd622ec44fa025886cc85c4f5b6d3adc1a37ae31,1338149,Consolidated Interim Condensed Financial Statements for the six-month period ended 30 June 2023,17,
RUAL,МКПАО ОК РУСАЛ,2022-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/2b6/f3wuog00a0p0my2h2fvrl2rx6sc1b81x.pdf,RUAL\RUAL_20221231_unknown_ifrs_34343b56a5.pdf,downloaded:200,application/pdf,.pdf,34343b56a5fac37402535a12783db2dc2e6b29ce70b23647ceef69814cfd8366,1640144,Consolidated Interim Condensed Financial Statements for the six-month period ended 30 June 2022,17,
RUAL,МКПАО ОК РУСАЛ,2025-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/cb5/0rza8mew6avlvb9z4l90la23ebcnko1c/RUSAL_Consolidated-Financial-Statements-for-12m2025_ENG.pdf,RUAL\RUAL_20251231_unknown_ifrs_affca83be0.pdf,downloaded:200,application/pdf,.pdf,affca83be047bdca9ae6b5398e1e8a66156f74173898b8d1d5c8ed27b7bc7d7d,2639584,Consolidated Financial Statements for the year ended 31 December 2025,15,
RUAL,МКПАО ОК РУСАЛ,2024-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/f08/pb7o8emdsdovwphx3n5mf3jwl28btt2o/RUSAL_consolidated_financial_statement_12m2024_ENG.pdf,RUAL\RUAL_20241231_unknown_ifrs_b858c5a1ed.pdf,downloaded:200,application/pdf,.pdf,b858c5a1ed4a793fbe97b761dab8b9ccd9c1b60ff96790ca18210d7c059aac52,2822726,Consolidated Financial Statements for the year ended 31 December 2024,15,
RUAL,МКПАО ОК РУСАЛ,2023-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/bc2/9sgqud8mp6asncf22vvcf3hpgi0wzdn4/Consolidated_Financial_Statements_RUSAL_2023_ENG.pdf,RUAL\RUAL_20231231_unknown_ifrs_27fddb76ec.pdf,downloaded:200,application/pdf,.pdf,27fddb76ec45f3049d50d876ffab47e4911a8a8275cbe274ad2e6232595d29c9,2711735,Consolidated Financial Statements for the year ended 31 December 2023,15,
RUAL,МКПАО ОК РУСАЛ,2022-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/c44/ftc60ij48o5lebzblxdzf761393vyknt.pdf,RUAL\RUAL_20221231_unknown_ifrs_7e8b45cd6c.pdf,downloaded:200,application/pdf,.pdf,7e8b45cd6ced23a08d96874e8d67421c0f9811749e1b73e7ae40085cd57014ee,5869768,Consolidated Financial Statements for the year ended 31 December 2022,15,
RUAL,МКПАО ОК РУСАЛ,2021-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/7fc/q9q2rkfexlqoo7jvtaoewz61jtxe6h2w.pdf,RUAL\RUAL_20211231_unknown_ifrs_8871c74ff7.pdf,downloaded:200,application/pdf,.pdf,8871c74ff774be4be508b466a3f2d875a73ac21bbab625476aaac9827f20eacb,3849316,Consolidated Financial Statements for the year ended 31 December 2021,15,
RUAL,МКПАО ОК РУСАЛ,2021-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/fbd/ncc2fl53427t13xue9ffx76ie6ycfsn7.pdf,RUAL\RUAL_20211231_unknown_ifrs_26028dfca8.pdf,downloaded:200,application/pdf,.pdf,26028dfca8951b64cffe11feb8606b1878b7219f6da55cae0178446308e608c4,1932064,Consolidated Interim Condensed Financial Information for the six-month period ended 30 June 2021,15,
RUAL,МКПАО ОК РУСАЛ,2025-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/5f6/lc5avsuidba8i3llbe9uuv9sxo9orpnk/RUSAL_Consolidated-Financial-Statements-for-12m2025_ENG.pdf,RUAL\RUAL_20251231_unknown_ifrs_f32227f65d.pdf,downloaded:200,application/pdf,.pdf,f32227f65d196c30a027368be46c2f5f7ac5cef06d6fd6d338bd32f5a18d906f,2564327,Consolidated Financial Statements for the year ended 31 December 2025,15,
RUAL,МКПАО ОК РУСАЛ,2021-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/,https://rusal.ru/upload/iblock/943/943b5d06f90c55f6ea7c09292e718e51.pdf,RUAL\RUAL_20211231_unknown_ifrs_363e984128.pdf,downloaded:200,application/pdf,.pdf,363e9841286ebd28b0f0175c31bd8b9f66f53633af15f2c7e1081d887de10001,4034418,Consolidated Financial Statements for the year ended 31 December 2020 (.pdf 3.85mb) 17.03.2021,15,
RUAL,МКПАО ОК РУСАЛ,2021-12-31,,ifrs_q,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/ca0/9op00ve3yepirt230tfy5638b6o4432h.pdf,RUAL\RUAL_20211231_unknown_ifrs_q_c2501c2fe9.pdf,downloaded:200,application/pdf,.pdf,c2501c2fe973b5856ce7b023aade95bec2a83be6e9ed6958275238572eb586a9,829164,Press release: RUSAL announced fourth quarter and full year 2021 operating results,13,
RUAL,МКПАО ОК РУСАЛ,2021-12-31,,ifrs_q,IFRS,,issuer_ir_auto,https://rusal.ru/en/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/57c/s1rdr07u4h7cawfphlkn9o15dledqqcz.pdf,RUAL\RUAL_20211231_unknown_ifrs_q_c06af7b726.pdf,downloaded:200,application/pdf,.pdf,c06af7b7262d05da3fa9a799e04467168ea082caf798c999b6170a8863b080b6,566010,Press-release: RUSAL announces operating results for the third quarter of 2021,13,
RUAL,МКПАО ОК РУСАЛ,2025-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/063/4m72uogp9gzxld5zvo5y2ym11udgqsa6/Consolidated-Interim-Condensed-Financial-Statements-for-the-six_month-period-ended-30-June-2025_RUS.pdf,RUAL\RUAL_20251231_unknown_ifrs_608f95dbc3.pdf,downloaded:200,application/pdf,.pdf,608f95dbc36b184b1020cb471ffc6c41895f2422cb65529ec608cc904265e468,930927,"Консолидированная промежуточная сокращенная финансовая отчетность за шесть месяцев, закончившихся 30 июня 2025 г.",23,
RUAL,МКПАО ОК РУСАЛ,2025-12-31,,ifrs,IFRS,,issuer_ir_auto,https://rusal.ru/investors/financial-stat/presentations/,https://rusal.ru/upload/iblock/3f4/pfgfff8cz522pzyaw85ep2aatcrxfniq/RUSAL_Consolidated-Financial-Statements-for-12m2025_RUS.pdf,RUAL\RUAL_20251231_unknown_ifrs_9f373a9330.pdf,downloaded:200,application/pdf,.pdf,9f373a9330242b6e0905858ec1d532086cba2b4ceb96ecb4d5dc0e8fa8245c12,1837380,"Консолидированная промежуточная сокращенная финансовая отчетность за год, закончившийся 31 декабря 2025 г.",21,
